2 1463064806 665253 4.68898 
3 1463064806 706908 7.84557 
4 1463064807 121085 4.48365 
5 1463064807 201403 5.33749 
6 1463064807 343179 5.61046 
7 1463064807 610899 5.17727 
8 1463064807 825738 5.09554 
9 1463064807 951949 5.33347 
10 1463064808 242543 5.02637 
11 1463064808 362696 5.23366 
12 1463064808 375733 5.71801 
13 1463064808 508829 5.83419 
14 1463064808 573214 6.12853 
15 1463064808 726320 6.15565 
16 1463064808 916262 6.08698 
17 1463064809 592820 5.09419 
18 1463064810 389004 4.31799 
19 1463064810 771913 4.16674 
20 1463064810 807886 4.3619 
21 1463064811 36944 4.36209 
22 1463064811 97903 4.5201 
23 1463064811 129251 4.7036 
24 1463064811 587353 4.47875 
25 1463064812 634516 3.94205 
26 1463064813 435345 3.62896 
27 1463064813 511843 3.73267 
28 1463064813 778757 3.73318 
29 1463064814 264224 3.62792 
30 1463064814 370691 3.70636 
31 1463064815 1867 3.54796 
32 1463064815 538502 3.44744 
33 1463064815 913509 3.41618 
34 1463064815 977344 3.49909 
35 1463064817 90512 3.22452 
36 1463064817 224643 3.27767 
37 1463064817 365380 3.32746 
38 1463064817 751727 3.30198 
39 1463064817 929448 3.33827 
40 1463064818 254924 3.33088 
41 1463064818 278660 3.40938 
42 1463064818 285491 3.49258 
43 1463064818 345219 3.55965 
44 1463064818 729229 3.52953 
45 1463064819 348381 3.43694 
46 1463064819 471176 3.48166 
47 1463064819 554478 3.53624 
48 1463064819 780919 3.5513 
49 1463064819 813331 3.61799 
