3 1462989863 165817 0.00310101 
5 1462990735 945 0.00229475 
8 1462991400 823261 0.00451809 
12 1462992225 964787 0.00485891 
17 1462993300 881266 0.00465543 
22 1462994288 242249 0.00506995 
26 1462995089 916208 0.00500065 
28 1462996145 329011 0.00189517 
29 1462997777 409338 0.000612775 
30 1462998472 6020 0.00143968 
32 1462999637 306230 0.00171718 
33 1463001595 210346 0.00051075 
34 1463002748 816086 0.000867759 
36 1463007675 698763 0.000406048 
37 1463009116 509623 0.000694054 
38 1463009818 725158 0.00142494 
40 1463014001 263799 0.000478178 
44 1463015272 870696 0.00315107 
45 1463016212 841963 0.00106386 
46 1463017252 314991 0.000962026 
48 1463018857 256114 0.00124662 
49 1463020084 77502 0.000815115 
51 1463021472 301179 0.00144148 
53 1463022305 180738 0.00240419 
55 1463023839 543582 0.00130409 
57 1463024886 823605 0.0019117 
59 1463026070 148234 0.00169015 
61 1463027372 335805 0.00153758 
62 1463028331 829179 0.00104329 
63 1463029807 566877 0.000677627 
64 1463030729 391638 0.0010848 
66 1463031883 83542 0.00173455 
69 1463033343 22606 0.00205577 
71 1463034209 233596 0.00231157 
73 1463035071 128395 0.00232196 
76 1463036415 591978 0.00223494 
77 1463038468 43343 0.000487222 
82 1463039078 555554 0.00821075 
83 1463040138 282705 0.000943639 
84 1463040756 528772 0.00161877 
85 1463041789 552590 0.000968077 
88 1463042505 58755 0.00419312 
90 1463043407 400945 0.00222034 
93 1463044086 577096 0.00442473 
96 1463044811 804847 0.00414579 
103 1463045908 237023 0.0063958 
106 1463046531 491573 0.00482126 
110 1463047141 591557 0.00657172 
114 1463047919 681702 0.00514743 
117 1463049143 524832 0.00245303 
121 1463049907 464401 0.00524737 
126 1463050561 879 0.00765866 
127 1463051183 647605 0.00160939 
133 1463052090 945922 0.00662438 
137 1463053515 247304 0.00281105 
140 1463054122 647651 0.00494841 
144 1463054971 525138 0.00471509 
148 1463056006 318403 0.0038688 
153 1463056878 59794 0.00574538 
155 1463057763 652038 0.0022614 
157 1463058369 76949 0.00330602 
159 1463060058 942408 0.00118474 
162 1463061492 960384 0.00209472 
165 1463062369 727246 0.00342701 
166 1463064468 285848 0.000476518 
