1 1462983027 60457 0 739.502 1.6384e+07
2 1462983027 316985 0.256528 745.399 1.6384e+07
3 1462983027 997992 0.681007 747.81 1.6384e+07
4 1462983028 672301 0.674309 747.94 1.6384e+07
5 1462983030 873614 1.79869 747.505 1.6384e+07
6 1462983040 902246 9.97137 747.765 1.6384e+07
7 1462983043 76583 2.17434 748.009 1.6384e+07
8 1462983047 598479 3.4781 747.681 1.6384e+07
9 1462983055 496713 7.89823 747.765 1.6384e+07
10 1462983059 541814 3.9549 747.742 1.6384e+07
11 1462983061 756842 1.78497 747.528 1.6384e+07
12 1462983066 612267 4.85543 747.551 1.6384e+07
