0	-0.000052875	0	3.53636116512302E-006
10	-5.43593371430397E-005	0	3.74285364735817E-006
20	0.0110572753	0	0.0111111117
30	0.0443879904	0	0.0222222226
40	0.0999422983	0	0.0333333336
50	0.255498773	0	0.0532870171
60	0.3443839615	0	0.0618640486
70	0.7110573788	0	0.088888889
80	1.1443872541	0	0.1127654619
90	1.3110470463	0	0.1206975611
100	1.1332731102	0	0.1122167216
110	0.9221647721	0	0.1012270399
120	0.8443848711	0	0.0968644211
130	0.4777166828	0	0.0728604282
140	0.3221645495	0	0.0598351647
150	0.0554972385	0	0.0248452001
160	0.0332814571	0	0.0192450093
170	0.0110539624	0	0.0111111118
180	0.0110538428	0	0.0111111118
190	-5.29764004281181E-005	0	3.59925213022433E-006
200	0.0110504576	0	0.0111111118
210	0.0110530138	0	0.0111111117
220	0.0777203377	0	0.029397237
230	0.2332740847	0	0.0509175079
240	0.3554966893	0	0.0628539362
250	0.7443859939	0	0.0909483642
260	0.9554923058	0	0.1030402056
270	1.1332778033	0	0.1122167216
280	1.5110513795	0	0.1295767088
290	1.1888280303	0	0.1149342271
300	0.7555023049	0	0.0916245695
310	0.3443881132	0	0.0618640486
320	0.1888354988	0	0.0458122849
330	0.0666085449	0	0.0272165529
340	-5.11627944619499E-005	0	3.36926720819003E-006
350	0.0332800688	0	0.0192450093
360	-5.3132649785904E-005	0	3.40394274445058E-006

