-50	0.308225
-49	0.308207
-48	0.308226
-47	0.308252
-46	0.308272
-45	0.3083
-44	0.30832
-43	0.308347
-42	0.308369
-41	0.308395
-40	0.308415
-39	0.308443
-38	0.308463
-37	0.308491
-36	0.308512
-35	0.308532
-34	0.30856
-33	0.308582
-32	0.30861
-31	0.308632
-30	0.30866
-29	0.308681
-28	0.30871
-27	0.308732
-26	0.308761
-25	0.308782
-24	0.308808
-23	0.308829
-22	0.308852
-21	0.308874
-20	0.308901
-19	0.308923
-18	0.308944
-17	0.308973
-16	0.308996
-15	0.309025
-14	0.309047
-13	0.309072
-12	0.309101
-11	0.309132
-10	0.309155
-9	0.309186
-8	0.30921
-7	0.309243
-6	0.309273
-5	0.309328
-4	0.309355
-3	0.309382
-2	0.30946
-1	0.309496
-6.22E-015	0.309527
1	0.309524
2	0.309569
3	0.309562
4	0.309476
5	0.309426
6	0.309359
7	0.309301
8	0.309197
9	0.309135
10	0.309015
11	0.30904
12	0.308951
13	0.308797
14	0.308793
15	0.308687
16	0.308616
17	0.308582
18	0.308566
19	0.308542
20	0.308527
21	0.3085
22	0.308473
23	0.308446
24	0.308426
25	0.308402
26	0.308322
27	0.308298
28	0.308292
29	0.308225
30	0.308195
31	0.308174
32	0.308144
33	0.308141
34	0.308113
35	0.308061
36	0.308034
37	0.308009
38	0.307983
39	0.307972
40	0.307915
41	0.307884
42	0.307854
43	0.307832
44	0.307808
45	0.30778
46	0.307746
47	0.307683
48	0.307659
49	0.307633
50	0.307607
51	0.307575
