-25	0.079219875	0	0.0400000077
-20	2.319355552	0	0.2154065934
-15	7.8993681568	0	0.3974921389
-14	8.1393748252	0	0.4034848206
-13	8.3793779918	0	0.4093897903
-12	8.5393880884	0	0.4132795669
-11	8.379394655	0	0.4093897903
-10	8.1593987742	0	0.4039801981
-5	2.6394160206	0	0.2297825067
0	0.0993908444	0	0.0447213643
5	0.0194121592	0	0.0200000101
10	-0.000592999	0	2.02103367413806E-005
15	0.039451984	0	0.0282842777
20	-0.0005515652	0	0.000019146
25	-0.0005475972	0	1.90483045103757E-005
-25	0.079219875	0	0.0400000077

