1.140	1.240	0.560	0.240	1.400	4.400	7.500	0.580	1.240	0.300	0.660	1.140	1.260	0.980	0.900	0.420	1.225	1.425	8.050	5.500	1.333	0.233	0.700	0.900
1.080	0.300	0.520	2.240	5.640	7.500	3.180	0.460	0.200	0.060	0.040	1.080	0.900	1.440	1.220	1.020	0.675	1.550	5.450	6.967	4.967	2.400	2.033	1.300
2.180	2.580	4.640	7.000	6.940	2.780	0.180	0.100	0.080	0.080	0.040	0.480	0.180	0.740	1.160	1.340	1.175	0.850	2.475	6.767	6.700	6.400	5.167	2.800
6.720	7.260	7.560	5.380	2.040	0.080	0.100	0.020	0.020	0.020	0.080	0.040	0.020	0.120	0.420	0.800	1.275	0.850	1.500	2.367	5.733	7.567	7.733	5.933
7.820	6.300	4.000	0.940	0.020	0.060	0.020	0.020	0.020	0.000	0.040	0.020	0.020	0.020	0.080	0.160	0.275	0.425	0.425	0.233	1.700	4.900	5.967	8.200
3.300	1.540	0.180	0.060	0.020	0.060	0.000	0.000	0.020	0.060	0.020	0.000	0.020	0.000	0.020	0.080	0.075	0.125	0.125	0.100	0.100	0.533	2.300	3.133
0.240	0.060	0.080	0.040	0.000	0.040	0.020	0.020	0.000	0.020	0.000	0.000	0.000	0.020	0.020	0.040	0.100	0.050	0.025	0.033	0.033	0.100	0.167	0.300
0.520	0.940	1.380	0.940	0.820	1.040	3.600	7.340	5.920	3.020	1.820	1.380	1.300	0.640	0.540	1.720	5.325	8.625	6.150	1.400	0.067	0.067	0.033	0.333
0.020	0.320	0.780	1.140	1.360	1.160	1.420	3.440	6.700	7.060	5.780	3.020	2.520	2.220	3.240	5.640	7.925	5.700	2.300	0.100	0.033	0.033	0.000	0.167
0.000	0.060	0.100	0.480	1.020	0.780	0.940	1.180	2.840	4.900	7.760	8.080	6.420	6.000	7.240	7.760	5.600	2.400	0.200	0.033	0.000	0.033	0.000	0.033
0.040	0.020	0.040	0.060	0.160	0.300	0.420	0.400	0.480	1.040	3.400	5.200	6.980	6.660	6.120	4.780	1.825	0.150	0.100	0.033	0.100	0.067	0.033	0.100
0.020	0.000	0.000	0.020	0.020	0.080	0.080	0.080	0.040	0.080	0.180	1.240	2.320	0.180	2.380	1.080	0.075	0.075	0.075	0.000	0.033	0.033	0.000	0.033
0.000	0.020	0.020	0.020	0.020	0.020	0.040	0.000	0.020	0.020	0.200	0.040	0.120	0.060	0.260	0.060	0.025	0.025	0.050	0.033	0.033	0.033	0.033	0.000

