#Magnetic Field (Oe),Voltage (V) 
-170.00, 1.412393 
-175.00, 1.412351 
-180.00, 1.412306 
-185.00, 1.412253 
-190.00, 1.412209 
-195.00, 1.412171 
-200.00, 1.412121 
-205.00, 1.412080 
-210.00, 1.412034 
-215.00, 1.411987 
-220.00, 1.411949 
-225.00, 1.411909 
-230.00, 1.411868 
-235.00, 1.411833 
-240.00, 1.411793 
-245.00, 1.411758 
-250.00, 1.411721 
-255.00, 1.411677 
-260.00, 1.411639 
-265.00, 1.411608 
-270.00, 1.411557 
-275.00, 1.411527 
-280.00, 1.411491 
-285.00, 1.411461 
-290.00, 1.411424 
-295.00, 1.411394 
-300.00, 1.411372 
-305.00, 1.411334 
-310.00, 1.411296 
-315.00, 1.411264 
-320.00, 1.411246 
-325.00, 1.411212 
-330.00, 1.411178 
-335.00, 1.411157 
-340.00, 1.411123 
-345.00, 1.411089 
-350.00, 1.411077 
-355.00, 1.411045 
-360.00, 1.411006 
-365.00, 1.410991 
-370.00, 1.410961 
-375.00, 1.410934 
-380.00, 1.410899 
-385.00, 1.410883 
-390.00, 1.410852 
-395.00, 1.410826 
-400.00, 1.410822 
