0		0.025	0	0.0039528471
0.1745329252		0.025	0	0.0039528471
0.3490658504		0.3	0	0.0136930639
0.5235987756		0.75	0	0.0216506351
0.6981317008		1.55	0	0.031124749
0.872664626		2.9	0	0.0425734659
1.0471975512		4.075	0	0.0504665731
1.2217304764		6.75	0	0.0649519053
1.3962634016		8.15	0	0.0713705121
1.5707963268		9.225	0	0.0759317127
1.745329252		7.5	0	0.0684653197
1.9198621772		6.425	0	0.0633689593
2.0943951024		4.45	0	0.0527375578
2.2689280276		2.5	0	0.0395284708
2.4434609528		0.95	0	0.0243669859
2.617993878		0.5	0	0.0176776695
2.7925268032		0.225	0	0.0118585412
2.9670597284		0.15	0	0.0096824584
3.1415926536		0.1	0	0.0079056942
3.3161255788		0.2	0	0.0111803399
3.490658504		0.1	0	0.0079056942
3.6651914292		0.425	0	0.016298006
3.8397243544		1.075	0	0.0259205517
4.0142572796		2.625	0	0.0405046294
4.1887902048		4.325	0	0.0519915859
4.36332313		6.125	0	0.0618718434
4.5378560552		8	0	0.0707106781
4.7123889804		8.975	0	0.0748957609
4.8869219056		9.15	0	0.0756224173
5.0614548308		7	0	0.0661437828
5.235987756		4.575	0	0.0534731241
5.4105206812		2.775	0	0.0416458281
5.5850536064		1.625	0	0.031868872
5.7595865316		0.725	0	0.021286733
5.9341194568		0.3	0	0.0136930639
6.108652382		0.175	0	0.0104582503
6.2831853072		0.1	0	0.0079056942

