#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.317796 
-49.00, 0.317793 
-48.00, 0.317792 
-47.00, 0.317789 
-46.00, 0.317786 
-45.00, 0.317782 
-44.00, 0.317780 
-43.00, 0.317774 
-42.00, 0.317769 
-41.00, 0.317766 
-40.00, 0.317769 
-39.00, 0.317756 
-38.00, 0.317751 
-37.00, 0.317746 
-36.00, 0.317729 
-35.00, 0.317733 
-34.00, 0.317724 
-33.00, 0.317715 
-32.00, 0.317711 
-31.00, 0.317701 
-30.00, 0.317686 
-29.00, 0.317673 
-28.00, 0.317663 
-27.00, 0.317643 
-26.00, 0.317615 
-25.00, 0.317585 
-24.00, 0.317548 
-23.00, 0.317516 
-22.00, 0.317467 
-21.00, 0.317416 
-20.00, 0.317346 
-19.00, 0.317291 
-18.00, 0.317230 
-17.00, 0.317127 
-16.00, 0.317046 
-15.00, 0.316903 
-14.00, 0.316791 
-13.00, 0.316427 
-12.00, 0.316204 
-11.00, 0.315927 
-10.00, 0.315663 
-9.00, 0.315176 
-8.00, 0.314973 
-7.00, 0.314695 
-6.00, 0.314500 
-5.00, 0.314222 
-4.00, 0.314017 
-3.00, 0.313809 
-2.00, 0.313545 
-1.00, 0.313354 
-6.22E-15, 0.313067 
1.00, 0.312818 
2.00, 0.312551 
3.00, 0.312416 
4.00, 0.312124 
5.00, 0.311902 
6.00, 0.311611 
7.00, 0.311368 
8.00, 0.311051 
9.00, 0.310826 
10.00, 0.310533 
11.00, 0.310298 
12.00, 0.310077 
13.00, 0.309796 
14.00, 0.309563 
15.00, 0.309270 
16.00, 0.309059 
17.00, 0.308773 
18.00, 0.308550 
19.00, 0.308344 
20.00, 0.308184 
21.00, 0.308017 
22.00, 0.307873 
23.00, 0.307746 
24.00, 0.307657 
25.00, 0.307537 
26.00, 0.307453 
27.00, 0.307390 
28.00, 0.307298 
29.00, 0.307245 
30.00, 0.307161 
31.00, 0.307121 
32.00, 0.307038 
33.00, 0.306999 
34.00, 0.306934 
35.00, 0.306892 
36.00, 0.306813 
37.00, 0.306773 
38.00, 0.306724 
39.00, 0.306698 
40.00, 0.306639 
41.00, 0.306624 
42.00, 0.306579 
43.00, 0.306562 
44.00, 0.306530 
45.00, 0.306496 
46.00, 0.306472 
47.00, 0.306456 
48.00, 0.306398 
49.00, 0.306384 
50.00, 0.306375 
51.00, 0.306331 
51.00, 0.306346 
50.00, 0.306372 
49.00, 0.306384 
48.00, 0.306422 
47.00, 0.306425 
46.00, 0.306474 
45.00, 0.306486 
44.00, 0.306533 
43.00, 0.306550 
42.00, 0.306581 
41.00, 0.306641 
40.00, 0.306674 
39.00, 0.306718 
38.00, 0.306757 
37.00, 0.306784 
36.00, 0.306831 
35.00, 0.306893 
34.00, 0.306931 
33.00, 0.307009 
32.00, 0.307052 
31.00, 0.307113 
30.00, 0.307170 
29.00, 0.307252 
28.00, 0.307318 
27.00, 0.307420 
26.00, 0.307483 
25.00, 0.307536 
24.00, 0.307650 
23.00, 0.307761 
22.00, 0.307879 
21.00, 0.308013 
20.00, 0.308184 
19.00, 0.308353 
18.00, 0.308547 
17.00, 0.308741 
16.00, 0.309062 
15.00, 0.309289 
14.00, 0.309596 
13.00, 0.309832 
12.00, 0.310129 
11.00, 0.310350 
10.00, 0.310613 
9.00, 0.310905 
8.00, 0.311132 
7.00, 0.311436 
6.00, 0.311661 
5.00, 0.311955 
4.00, 0.312177 
3.00, 0.312473 
2.00, 0.312602 
1.00, 0.312892 
-6.22E-15, 0.313117 
-1.00, 0.313412 
-2.00, 0.313599 
-3.00, 0.313900 
-4.00, 0.314095 
-5.00, 0.314307 
-6.00, 0.314561 
-7.00, 0.314769 
-8.00, 0.315050 
-9.00, 0.315248 
-10.00, 0.315525 
-11.00, 0.315738 
-12.00, 0.316074 
-13.00, 0.316254 
-14.00, 0.316571 
-15.00, 0.316864 
-16.00, 0.317063 
-17.00, 0.317165 
-18.00, 0.317292 
-19.00, 0.317384 
-20.00, 0.317438 
-21.00, 0.317525 
-22.00, 0.317571 
-23.00, 0.317629 
-24.00, 0.317668 
-25.00, 0.317711 
-26.00, 0.317748 
-27.00, 0.317779 
-28.00, 0.317791 
-29.00, 0.317813 
-30.00, 0.317831 
-31.00, 0.317841 
-32.00, 0.317854 
-33.00, 0.317867 
-34.00, 0.317853 
-35.00, 0.317879 
-36.00, 0.317882 
-37.00, 0.317898 
-38.00, 0.317903 
-39.00, 0.317884 
-40.00, 0.317898 
-41.00, 0.317910 
-42.00, 0.317917 
-43.00, 0.317921 
-44.00, 0.317926 
-45.00, 0.317928 
-46.00, 0.317933 
-47.00, 0.317942 
-48.00, 0.317958 
-49.00, 0.317960 
-50.00, 0.317967 
