#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.307780 
-49.00, 0.307805 
-48.00, 0.307823 
-47.00, 0.307850 
-46.00, 0.307870 
-45.00, 0.307898 
-44.00, 0.307918 
-43.00, 0.307945 
-42.00, 0.307965 
-41.00, 0.307992 
-40.00, 0.308012 
-39.00, 0.308041 
-38.00, 0.308060 
-37.00, 0.308089 
-36.00, 0.308109 
-35.00, 0.308131 
-34.00, 0.308160 
-33.00, 0.308182 
-32.00, 0.308210 
-31.00, 0.308231 
-30.00, 0.308259 
-29.00, 0.308280 
-28.00, 0.308309 
-27.00, 0.308332 
-26.00, 0.308359 
-25.00, 0.308382 
-24.00, 0.308410 
-23.00, 0.308431 
-22.00, 0.308459 
-21.00, 0.308482 
-20.00, 0.308511 
-19.00, 0.308533 
-18.00, 0.308555 
-17.00, 0.308585 
-16.00, 0.308605 
-15.00, 0.308634 
-14.00, 0.308657 
-13.00, 0.308688 
-12.00, 0.308709 
-11.00, 0.308738 
-10.00, 0.308761 
-9.00, 0.308790 
-8.00, 0.308812 
-7.00, 0.308842 
-6.00, 0.308863 
-5.00, 0.308893 
-4.00, 0.308914 
-3.00, 0.308937 
-2.00, 0.308966 
-1.00, 0.308989 
-6.22E-15, 0.309028 
1.00, 0.309049 
2.00, 0.309082 
3.00, 0.309096 
4.00, 0.309127 
5.00, 0.309141 
6.00, 0.309178 
7.00, 0.309188 
8.00, 0.309172 
9.00, 0.309117 
10.00, 0.308968 
11.00, 0.308743 
12.00, 0.308725 
13.00, 0.308697 
14.00, 0.308594 
15.00, 0.308333 
16.00, 0.308324 
17.00, 0.308239 
18.00, 0.308168 
19.00, 0.308129 
20.00, 0.308120 
21.00, 0.308106 
22.00, 0.308098 
23.00, 0.308077 
24.00, 0.308052 
25.00, 0.308044 
26.00, 0.308030 
27.00, 0.308015 
28.00, 0.307984 
29.00, 0.307968 
30.00, 0.307942 
31.00, 0.307922 
32.00, 0.307873 
33.00, 0.307852 
34.00, 0.307824 
35.00, 0.307803 
36.00, 0.307791 
37.00, 0.307762 
38.00, 0.307730 
39.00, 0.307743 
40.00, 0.307694 
41.00, 0.307670 
42.00, 0.307649 
43.00, 0.307622 
44.00, 0.307600 
45.00, 0.307557 
46.00, 0.307515 
47.00, 0.307482 
48.00, 0.307462 
49.00, 0.307432 
50.00, 0.307411 
51.00, 0.307375 
51.00, 0.307372 
50.00, 0.307398 
49.00, 0.307418 
48.00, 0.307446 
47.00, 0.307465 
46.00, 0.307494 
45.00, 0.307514 
44.00, 0.307543 
43.00, 0.307564 
42.00, 0.307584 
41.00, 0.307612 
40.00, 0.307634 
39.00, 0.307662 
38.00, 0.307683 
37.00, 0.307713 
36.00, 0.307734 
35.00, 0.307761 
34.00, 0.307785 
33.00, 0.307815 
32.00, 0.307837 
31.00, 0.307865 
30.00, 0.307889 
29.00, 0.307921 
28.00, 0.307943 
27.00, 0.307971 
26.00, 0.307994 
25.00, 0.308018 
24.00, 0.308052 
23.00, 0.308075 
22.00, 0.308109 
21.00, 0.308135 
20.00, 0.308169 
19.00, 0.308193 
18.00, 0.308225 
17.00, 0.308252 
16.00, 0.308292 
15.00, 0.308323 
14.00, 0.308362 
13.00, 0.308401 
12.00, 0.308441 
11.00, 0.308473 
10.00, 0.308494 
9.00, 0.308519 
8.00, 0.308541 
7.00, 0.308491 
6.00, 0.308491 
5.00, 0.308469 
4.00, 0.308496 
3.00, 0.308536 
2.00, 0.308565 
1.00, 0.308687 
-6.22E-15, 0.308705 
-1.00, 0.308869 
-2.00, 0.308904 
-3.00, 0.309213 
-4.00, 0.309184 
-5.00, 0.309188 
-6.00, 0.309165 
-7.00, 0.309117 
-8.00, 0.309081 
-9.00, 0.309063 
-10.00, 0.309034 
-11.00, 0.309018 
-12.00, 0.309011 
-13.00, 0.308981 
-14.00, 0.308950 
-15.00, 0.308930 
-16.00, 0.308903 
-17.00, 0.308882 
-18.00, 0.308861 
-19.00, 0.308842 
-20.00, 0.308823 
-21.00, 0.308793 
-22.00, 0.308771 
-23.00, 0.308744 
-24.00, 0.308725 
-25.00, 0.308699 
-26.00, 0.308678 
-27.00, 0.308651 
-28.00, 0.308660 
-29.00, 0.308628 
-30.00, 0.308607 
-31.00, 0.308577 
-32.00, 0.308554 
-33.00, 0.308529 
-34.00, 0.308508 
-35.00, 0.308481 
-36.00, 0.308461 
-37.00, 0.308440 
-38.00, 0.308413 
-39.00, 0.308393 
-40.00, 0.308365 
-41.00, 0.308339 
-42.00, 0.308312 
-43.00, 0.308291 
-44.00, 0.308262 
-45.00, 0.308249 
-46.00, 0.308221 
-47.00, 0.308200 
-48.00, 0.308172 
-49.00, 0.308151 
-50.00, 0.308124 
