#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.498066 
-49.00, 0.498112 
-48.00, 0.498147 
-47.00, 0.498195 
-46.00, 0.498231 
-45.00, 0.498281 
-44.00, 0.498318 
-43.00, 0.498370 
-42.00, 0.498407 
-41.00, 0.498462 
-40.00, 0.498500 
-39.00, 0.498554 
-38.00, 0.498594 
-37.00, 0.498647 
-36.00, 0.498689 
-35.00, 0.498729 
-34.00, 0.498784 
-33.00, 0.498824 
-32.00, 0.498879 
-31.00, 0.498921 
-30.00, 0.498978 
-29.00, 0.499021 
-28.00, 0.499080 
-27.00, 0.499122 
-26.00, 0.499182 
-25.00, 0.499226 
-24.00, 0.499284 
-23.00, 0.499329 
-22.00, 0.499389 
-21.00, 0.499434 
-20.00, 0.499496 
-19.00, 0.499541 
-18.00, 0.499589 
-17.00, 0.499652 
-16.00, 0.499698 
-15.00, 0.499763 
-14.00, 0.499811 
-13.00, 0.499876 
-12.00, 0.499925 
-11.00, 0.499989 
-10.00, 0.500039 
-9.00, 0.500107 
-8.00, 0.500159 
-7.00, 0.500226 
-6.00, 0.500273 
-5.00, 0.500350 
-4.00, 0.500407 
-3.00, 0.500467 
-2.00, 0.500549 
-1.00, 0.500615 
-6.22E-15, 0.500699 
1.00, 0.500779 
2.00, 0.500909 
3.00, 0.500934 
4.00, 0.501022 
5.00, 0.501089 
6.00, 0.501102 
7.00, 0.501161 
8.00, 0.501290 
9.00, 0.501310 
10.00, 0.500668 
11.00, 0.500656 
12.00, 0.500478 
13.00, 0.500447 
14.00, 0.500392 
15.00, 0.500292 
16.00, 0.500220 
17.00, 0.500155 
18.00, 0.500124 
19.00, 0.500015 
20.00, 0.499933 
21.00, 0.499851 
22.00, 0.499771 
23.00, 0.499694 
24.00, 0.499631 
25.00, 0.499551 
26.00, 0.499494 
27.00, 0.499428 
28.00, 0.499349 
29.00, 0.499240 
30.00, 0.499162 
31.00, 0.499102 
32.00, 0.499021 
33.00, 0.498971 
34.00, 0.498881 
35.00, 0.498805 
36.00, 0.498729 
37.00, 0.498673 
38.00, 0.498597 
39.00, 0.498526 
40.00, 0.498445 
41.00, 0.498373 
42.00, 0.498284 
43.00, 0.498216 
44.00, 0.498168 
45.00, 0.498100 
46.00, 0.498041 
47.00, 0.497952 
48.00, 0.497872 
49.00, 0.497809 
50.00, 0.497753 
51.00, 0.497639 
51.00, 0.497598 
50.00, 0.497639 
49.00, 0.497679 
48.00, 0.497730 
47.00, 0.497764 
46.00, 0.497815 
45.00, 0.497855 
44.00, 0.497910 
43.00, 0.497950 
42.00, 0.497991 
41.00, 0.498046 
40.00, 0.498087 
39.00, 0.498145 
38.00, 0.498186 
37.00, 0.498243 
36.00, 0.498286 
35.00, 0.498344 
34.00, 0.498387 
33.00, 0.498447 
32.00, 0.498491 
31.00, 0.498552 
30.00, 0.498597 
29.00, 0.498658 
28.00, 0.498705 
27.00, 0.498768 
26.00, 0.498816 
25.00, 0.498862 
24.00, 0.498924 
23.00, 0.498973 
22.00, 0.499038 
21.00, 0.499087 
20.00, 0.499154 
19.00, 0.499204 
18.00, 0.499274 
17.00, 0.499328 
16.00, 0.499399 
15.00, 0.499455 
14.00, 0.499532 
13.00, 0.499592 
12.00, 0.499666 
11.00, 0.499726 
10.00, 0.499783 
9.00, 0.499869 
8.00, 0.499933 
7.00, 0.500015 
6.00, 0.500081 
5.00, 0.500170 
4.00, 0.500249 
3.00, 0.500205 
2.00, 0.500244 
1.00, 0.499976 
-6.22E-15, 0.499985 
-1.00, 0.499953 
-2.00, 0.500029 
-3.00, 0.500133 
-4.00, 0.500176 
-5.00, 0.500330 
-6.00, 0.500554 
-7.00, 0.500637 
-8.00, 0.500687 
-9.00, 0.500591 
-10.00, 0.500476 
-11.00, 0.500364 
-12.00, 0.500288 
-13.00, 0.500224 
-14.00, 0.500244 
-15.00, 0.500189 
-16.00, 0.500111 
-17.00, 0.500052 
-18.00, 0.499991 
-19.00, 0.499919 
-20.00, 0.499873 
-21.00, 0.499795 
-22.00, 0.499736 
-23.00, 0.499665 
-24.00, 0.499606 
-25.00, 0.499535 
-26.00, 0.499489 
-27.00, 0.499422 
-28.00, 0.499382 
-29.00, 0.499311 
-30.00, 0.499261 
-31.00, 0.499196 
-32.00, 0.499143 
-33.00, 0.499066 
-34.00, 0.499018 
-35.00, 0.498939 
-36.00, 0.498894 
-37.00, 0.498840 
-38.00, 0.498762 
-39.00, 0.498717 
-40.00, 0.498658 
-41.00, 0.498613 
-42.00, 0.498547 
-43.00, 0.498504 
-44.00, 0.498430 
-45.00, 0.498357 
-46.00, 0.498300 
-47.00, 0.498256 
-48.00, 0.498189 
-49.00, 0.498142 
-50.00, 0.498085 
