#Magnetic Field (Oe),Voltage (V) 
-50.00, 0.497727 
-49.00, 0.497774 
-48.00, 0.497810 
-47.00, 0.497859 
-46.00, 0.497896 
-45.00, 0.497945 
-44.00, 0.497983 
-43.00, 0.498036 
-42.00, 0.498072 
-41.00, 0.498124 
-40.00, 0.498164 
-39.00, 0.498215 
-38.00, 0.498255 
-37.00, 0.498308 
-36.00, 0.498348 
-35.00, 0.498388 
-34.00, 0.498443 
-33.00, 0.498485 
-32.00, 0.498541 
-31.00, 0.498583 
-30.00, 0.498639 
-29.00, 0.498682 
-28.00, 0.498739 
-27.00, 0.498783 
-26.00, 0.498841 
-25.00, 0.498884 
-24.00, 0.498943 
-23.00, 0.498987 
-22.00, 0.499048 
-21.00, 0.499093 
-20.00, 0.499154 
-19.00, 0.499201 
-18.00, 0.499248 
-17.00, 0.499311 
-16.00, 0.499361 
-15.00, 0.499425 
-14.00, 0.499474 
-13.00, 0.499542 
-12.00, 0.499591 
-11.00, 0.499660 
-10.00, 0.499709 
-9.00, 0.499777 
-8.00, 0.499830 
-7.00, 0.499904 
-6.00, 0.499959 
-5.00, 0.500036 
-4.00, 0.500096 
-3.00, 0.500155 
-2.00, 0.500239 
-1.00, 0.500301 
-6.22E-15, 0.500392 
1.00, 0.500457 
2.00, 0.500583 
3.00, 0.500639 
4.00, 0.500696 
5.00, 0.500755 
6.00, 0.500790 
7.00, 0.500802 
8.00, 0.500986 
9.00, 0.500951 
10.00, 0.500729 
11.00, 0.500751 
12.00, 0.500632 
13.00, 0.500390 
14.00, 0.500309 
15.00, 0.500224 
16.00, 0.500163 
17.00, 0.500092 
18.00, 0.500056 
19.00, 0.499943 
20.00, 0.499856 
21.00, 0.499773 
22.00, 0.499723 
23.00, 0.499633 
24.00, 0.499573 
25.00, 0.499507 
26.00, 0.499449 
27.00, 0.499361 
28.00, 0.499281 
29.00, 0.499224 
30.00, 0.499138 
31.00, 0.499083 
32.00, 0.498998 
33.00, 0.498929 
34.00, 0.498807 
35.00, 0.498714 
36.00, 0.498642 
37.00, 0.498584 
38.00, 0.498503 
39.00, 0.498450 
40.00, 0.498349 
41.00, 0.498238 
42.00, 0.498162 
43.00, 0.498109 
44.00, 0.498058 
45.00, 0.497990 
46.00, 0.497932 
47.00, 0.497851 
48.00, 0.497797 
49.00, 0.497690 
50.00, 0.497611 
51.00, 0.497510 
51.00, 0.497500 
50.00, 0.497544 
49.00, 0.497583 
48.00, 0.497634 
47.00, 0.497673 
46.00, 0.497726 
45.00, 0.497767 
44.00, 0.497822 
43.00, 0.497864 
42.00, 0.497905 
41.00, 0.497961 
40.00, 0.498003 
39.00, 0.498060 
38.00, 0.498102 
37.00, 0.498161 
36.00, 0.498203 
35.00, 0.498261 
34.00, 0.498306 
33.00, 0.498366 
32.00, 0.498411 
31.00, 0.498471 
30.00, 0.498517 
29.00, 0.498580 
28.00, 0.498630 
27.00, 0.498695 
26.00, 0.498743 
25.00, 0.498791 
24.00, 0.498858 
23.00, 0.498903 
22.00, 0.498972 
21.00, 0.499022 
20.00, 0.499089 
19.00, 0.499142 
18.00, 0.499215 
17.00, 0.499270 
16.00, 0.499346 
15.00, 0.499401 
14.00, 0.499478 
13.00, 0.499530 
12.00, 0.499608 
11.00, 0.499677 
10.00, 0.499740 
9.00, 0.499837 
8.00, 0.499910 
7.00, 0.500005 
6.00, 0.500090 
5.00, 0.500207 
4.00, 0.500340 
3.00, 0.499959 
2.00, 0.500010 
1.00, 0.500193 
-6.22E-15, 0.500077 
-1.00, 0.500043 
-2.00, 0.500033 
-3.00, 0.500076 
-4.00, 0.500087 
-5.00, 0.500147 
-6.00, 0.500304 
-7.00, 0.500277 
-8.00, 0.500107 
-9.00, 0.500064 
-10.00, 0.500021 
-11.00, 0.499954 
-12.00, 0.499876 
-13.00, 0.499822 
-14.00, 0.499750 
-15.00, 0.499699 
-16.00, 0.499726 
-17.00, 0.499668 
-18.00, 0.499600 
-19.00, 0.499543 
-20.00, 0.499481 
-21.00, 0.499414 
-22.00, 0.499363 
-23.00, 0.499290 
-24.00, 0.499206 
-25.00, 0.499133 
-26.00, 0.499076 
-27.00, 0.499009 
-28.00, 0.498968 
-29.00, 0.498907 
-30.00, 0.498852 
-31.00, 0.498791 
-32.00, 0.498740 
-33.00, 0.498664 
-34.00, 0.498615 
-35.00, 0.498541 
-36.00, 0.498493 
-37.00, 0.498447 
-38.00, 0.498347 
-39.00, 0.498295 
-40.00, 0.498225 
-41.00, 0.498183 
-42.00, 0.498112 
-43.00, 0.498067 
-44.00, 0.497998 
-45.00, 0.497941 
-46.00, 0.497882 
-47.00, 0.497826 
-48.00, 0.497767 
-49.00, 0.497717 
-50.00, 0.497646 
