-20	102.6367305123	1.5322487345	94.526773718	0.877478788	1.06319376	0.1013993768
-15	102.4398189247	1.6045839231	94.7389239712	0.9952006178	7.9075835037	0.2995972235
-12	102.3207561043	1.7430888433	94.1116971355	1.1904369258	13.6811290133	0.4804595245
-10	104.1066984101	2.1332148586	101.7767780254	1.7178080135	21.7475207733	0.8550611736
-9	100.5348137985	2.0829006998	99.1202878975	1.6942325537	24.12524616	0.9000093732
-8	103.3098933814	2.122013061	100.9189530883	1.7102247747	26.8504970667	0.9492782353
-7	105.5904043257	2.1540406324	93.3092157427	1.6416758278	27.4938853867	0.9603326735
-6	101.1118105435	2.0910459223	94.3884148571	1.6515427504	29.9993002667	1.0027818205
-5	98.7488714928	2.0576448613	89.020091057	1.6019538037	31.8791746933	1.0333401073
-4	98.9137277056	2.0599790259	92.8111238437	1.6371049223	33.0056746667	1.051461118
-3	103.4197975233	2.1235588776	94.5544454901	1.6530563232	38.02851216	1.1284280007
-2	101.1118105435	2.0910459223	98.5115089098	1.6887911348	41.258656	1.1752140117
-1	99.7380087698	2.071641087	94.194712452	1.6497754346	39.8019130667	1.1542260064
0	101.2491907209	2.092984245	93.0878415654	1.6396456448	39.0013821333	1.1426158979
1	99.3808203086	2.0665893124	91.9532989066	1.6292073816	37.0064094533	1.1130605186
2	104.4913629068	2.138618193	92.5067343499	1.6343062682	35.2638209467	1.0867967898
3	98.8862516701	2.0595900393	91.9256271344	1.6289520824	32.5405882933	1.0440376959
4	100.5897658695	2.0836767336	92.0363142231	1.6299730758	29.6709801867	0.9972259369
5	102.3482321398	2.1084769307	98.6221959985	1.6897815752	29.1896546667	0.9893968325
6	101.0293824371	2.0898827417	92.8387956159	1.6373591446	25.5688488667	0.9261712584
7	103.1450371686	2.1196938885	92.6174214385	1.6353244296	22.19913816	0.8634647747
8	101.4689990047	2.0960847538	95.3845986551	1.6606067279	21.4969363867	0.8498460923
9	100.04024516	2.0759135493	90.514366754	1.6158864994	17.00787052	0.7564633877
10	99.9303410181	2.0743601502	92.5620778942	1.634815416	14.2711231333	0.6936326202
12	101.3178808095	1.7299518531	90.5973820704	1.1662274883	9.1390283333	0.3937098814
15	101.2858254348	1.5897981284	92.691212831	0.9831338122	4.2798046059	0.222233806
20	101.0019064016	1.5115026676	91.8287759318	0.8630034761	0.35401592	0.0656456225

